Infinitive,погуби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,погуби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погу́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погуби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,погуби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,погублю́
2nd Sing,погу́бишь
3rd Sing,погу́бит
1st Pl,погу́бим
2nd Pl,погу́бите
3rd Pl,погу́бят
Past M,погуби́л
Past F,погуби́ла
Past N,погуби́ло
Past PL,погуби́ли
Imp S,погуби́
Imp PL,погуби́те
