Infinitive,подверга́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подверга́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подверга́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подверга́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подверга́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подверга́юсь
2nd Sing,подверга́ешься
3rd Sing,подверга́ется
1st Pl,подверга́емся
2nd Pl,подверга́етесь
3rd Pl,подверга́ются
Past M,подверга́лся
Past F,подверга́лась
Past N,подверга́лось
Past PL,подверга́лись
Imp S,подверга́йся
Imp PL,подверга́йтесь
