Infinitive,поддержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поддержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поддержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поддержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поддержу́
2nd Sing,подде́ржишь
3rd Sing,подде́ржит
1st Pl,подде́ржим
2nd Pl,подде́ржите
3rd Pl,подде́ржат
Past M,поддержа́л
Past F,поддержа́ла
Past N,поддержа́ло
Past PL,поддержа́ли
Imp S,поддержи́
Imp PL,поддержи́те
