Infinitive,подки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подки́ну
2nd Sing,подки́нешь
3rd Sing,подки́нет
1st Pl,подки́нем
2nd Pl,подки́нете
3rd Pl,подки́нут
Past M,подки́нул
Past F,подки́нула
Past N,подки́нуло
Past PL,подки́нули
Imp S,подки́нь
Imp PL,подки́ньте
