Infinitive,подли́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подли́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подли́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подли́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подли́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подли́зываюсь
2nd Sing,подли́зываешься
3rd Sing,подли́зывается
1st Pl,подли́зываемся
2nd Pl,подли́зываетесь
3rd Pl,подли́зываются
Past M,подли́зывался
Past F,подли́зывалась
Past N,подли́зывалось
Past PL,подли́зывались
Imp S,подли́зывайся
Imp PL,подли́зывайтесь
