Infinitive,подме́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подме́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подме́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подме́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подме́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подме́чу
2nd Sing,подме́тишь
3rd Sing,подме́тит
1st Pl,подме́тим
2nd Pl,подме́тите
3rd Pl,подме́тят
Past M,подме́тил
Past F,подме́тила
Past N,подме́тило
Past PL,подме́тили
Imp S,подме́ть
Imp PL,подме́тьте
