Infinitive,подмигну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подмигну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подмигну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подмигну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подмигну́
2nd Sing,подмигнёшь
3rd Sing,подмигнёт
1st Pl,подмигнём
2nd Pl,подмигнёте
3rd Pl,подмигну́т
Past M,подмигну́л
Past F,подмигну́ла
Past N,подмигну́ло
Past PL,подмигну́ли
Imp S,подмигни́
Imp PL,подмигни́те
