Infinitive,подогну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подогну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подо́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подогну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подогну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подогну́
2nd Sing,подогнёшь
3rd Sing,подогнёт
1st Pl,подогнём
2nd Pl,подогнёте
3rd Pl,подогну́т
Past M,подогну́л
Past F,подогну́ла
Past N,подогну́ло
Past PL,подогну́ли
Imp S,подогни́
Imp PL,подогни́те
