Infinitive,подпры́гнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подпры́гнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпры́гнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подпры́гнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подпры́гну
2nd Sing,подпры́гнешь
3rd Sing,подпры́гнет
1st Pl,подпры́гнем
2nd Pl,подпры́гнете
3rd Pl,подпры́гнут
Past M,подпры́гнул
Past F,подпры́гнула
Past N,подпры́гнуло
Past PL,подпры́гнули
Imp S,подпры́гни
Imp PL,подпры́гните
