Infinitive,подрасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подрасту́
2nd Sing,подрастёшь
3rd Sing,подрастёт
1st Pl,подрастём
2nd Pl,подрастёте
3rd Pl,подрасту́т
Past M,подро́с
Past F,подросла́
Past N,подросло́
Past PL,подросли́
Imp S,подрасти́podrastí
Imp PL,подрасти́те
