Infinitive,подыма́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подыма́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подыма́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подыма́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подыма́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подыма́юсь
2nd Sing,подыма́ешься
3rd Sing,подыма́ется
1st Pl,подыма́емся
2nd Pl,подыма́етесь
3rd Pl,подыма́ются
Past M,подыма́лся
Past F,подыма́лась
Past N,подыма́лось
Past PL,подыма́лись
Imp S,подыма́йся
Imp PL,подыма́йтесь
