Infinitive,пози́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пози́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пози́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пози́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пози́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пози́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пози́рую
2nd Sing,пози́руешь
3rd Sing,пози́рует
1st Pl,пози́руем
2nd Pl,пози́руете
3rd Pl,пози́руют
Past M,пози́ровал
Past F,пози́ровала
Past N,пози́ровало
Past PL,пози́ровали
Imp S,пози́руй
Imp PL,пози́руйте
