Infinitive,познако́мить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,познако́мивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,познако́мленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,познако́мив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,познако́мивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,познако́млю
2nd Sing,познако́мишь
3rd Sing,познако́мит
1st Pl,познако́мим
2nd Pl,познако́мите
3rd Pl,познако́мят
Past M,познако́мил
Past F,познако́мила
Past N,познако́мило
Past PL,познако́мили
Imp S,познако́мь
Imp PL,познако́мьте
