Infinitive,покоси́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покоси́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покоси́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покошу́сь
2nd Sing,покоси́шься
3rd Sing,покоси́тся
1st Pl,покоси́мся
2nd Pl,покоси́тесь
3rd Pl,покося́тся
Past M,покоси́лся
Past F,покоси́лась
Past N,покоси́лось
Past PL,покоси́лись
Imp S,покоси́сь
Imp PL,покоси́тесь
