Infinitive,поме́длить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поме́дливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поме́длив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поме́дливши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поме́длю
2nd Sing,поме́длишь
3rd Sing,поме́длит
1st Pl,поме́длим
2nd Pl,поме́длите
3rd Pl,поме́длят
Past M,поме́длил
Past F,поме́длила
Past N,поме́длило
Past PL,поме́длили
Imp S,поме́дли
Imp PL,поме́длите
