Infinitive,помечта́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помечта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помечта́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,помечта́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,помечта́ю
2nd Sing,помечта́ешь
3rd Sing,помечта́ет
1st Pl,помечта́ем
2nd Pl,помечта́ете
3rd Pl,помечта́ют
Past M,помечта́л
Past F,помечта́ла
Past N,помечта́ло
Past PL,помечта́ли
Imp S,помечта́й
Imp PL,помечта́йте
