Infinitive,помеша́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помеша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помеша́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,помеша́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,помеша́ю
2nd Sing,помеша́ешь
3rd Sing,помеша́ет
1st Pl,помеша́ем
2nd Pl,помеша́ете
3rd Pl,помеша́ют
Past M,помеша́л
Past F,помеша́ла
Past N,помеша́ло
Past PL,помеша́ли
Imp S,помеша́й
Imp PL,помеша́йте
