Infinitive,помрачне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помрачне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помрачне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,помрачне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,помрачне́ю
2nd Sing,помрачне́ешь
3rd Sing,помрачне́ет
1st Pl,помрачне́ем
2nd Pl,помрачне́ете
3rd Pl,помрачне́ют
Past M,помрачне́л
Past F,помрачне́ла
Past N,помрачне́ло
Past PL,помрачне́ли
Imp S,помрачне́й
Imp PL,помрачне́йте
