Infinitive,помы́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помы́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помы́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помо́юсь
2nd Sing,помо́ешься
3rd Sing,помо́ется
1st Pl,помо́емся
2nd Pl,помо́етесь
3rd Pl,помо́ются
Past M,помы́лся
Past F,помы́лась
Past N,помы́лось
Past PL,помы́лись
Imp S,помо́йся
Imp PL,помо́йтесь
