Infinitive,поня́ть
Zaliznyak Class,14b/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́нятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пойму́
2nd Sing,поймёшь
3rd Sing,поймёт
1st Pl,поймём
2nd Pl,поймёте
3rd Pl,пойму́т
Past M,по́нял
Past F,поняла́
Past N,по́няло
Past PL,по́няли
Imp S,пойми́
Imp PL,пойми́те
