Infinitive,пописа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пописа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пописа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пописа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попишу́
2nd Sing,попи́шешь
3rd Sing,попи́шет
1st Pl,попи́шем
2nd Pl,попи́шете
3rd Pl,попи́шут
Past M,пописа́л
Past F,пописа́ла
Past N,пописа́ло
Past PL,пописа́ли
Imp S,попиши́
Imp PL,попиши́те
