Infinitive,посели́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посели́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посели́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поселю́сь
2nd Sing,посели́шься
3rd Sing,посели́тся
1st Pl,посели́мся
2nd Pl,посели́тесь
3rd Pl,поселя́тся
Past M,посели́лся
Past F,посели́лась
Past N,посели́лось
Past PL,посели́лись
Imp S,посели́сь
Imp PL,посели́тесь
