Infinitive,послу́шаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,послу́шавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,послу́шавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,послу́шаюсь
2nd Sing,послу́шаешься
3rd Sing,послу́шается
1st Pl,послу́шаемся
2nd Pl,послу́шаетесь
3rd Pl,послу́шаются
Past M,послу́шался
Past F,послу́шалась
Past N,послу́шалось
Past PL,послу́шались
Imp S,послу́шайся
Imp PL,послу́шайтесь
