Infinitive,посоли́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посоли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посо́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посоли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посоли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посолю́
2nd Sing,посо́лишь
3rd Sing,посо́лит
1st Pl,посо́лим
2nd Pl,посо́лите
3rd Pl,посо́лят
Past M,посоли́л
Past F,посоли́ла
Past N,посоли́ло
Past PL,посоли́ли
Imp S,посоли́
Imp PL,посоли́те
