Infinitive,поспеша́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поспеша́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поспеша́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поспеша́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поспеша́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поспеша́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поспеша́ю
2nd Sing,поспеша́ешь
3rd Sing,поспеша́ет
1st Pl,поспеша́ем
2nd Pl,поспеша́ете
3rd Pl,поспеша́ют
Past M,поспеша́л
Past F,поспеша́ла
Past N,поспеша́ло
Past PL,поспеша́ли
Imp S,поспеша́й
Imp PL,поспеша́йте
