Infinitive,пострада́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пострада́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пострада́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пострада́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пострада́ю
2nd Sing,пострада́ешь
3rd Sing,пострада́ет
1st Pl,пострада́ем
2nd Pl,пострада́ете
3rd Pl,пострада́ют
Past M,пострада́л
Past F,пострада́ла
Past N,пострада́ло
Past PL,пострада́ли
Imp S,пострада́й
Imp PL,пострада́йте
