Infinitive,постуча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,постуча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постуча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,постуча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,постучу́
2nd Sing,постучи́шь
3rd Sing,постучи́т
1st Pl,постучи́м
2nd Pl,постучи́те
3rd Pl,постуча́т
Past M,постуча́л
Past F,постуча́ла
Past N,постуча́ло
Past PL,постуча́ли
Imp S,постучи́
Imp PL,постучи́те
