Infinitive,потащи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потащи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пота́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потащи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потащи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потащу́
2nd Sing,пота́щишь
3rd Sing,пота́щит
1st Pl,пота́щим
2nd Pl,пота́щите
3rd Pl,пота́щат
Past M,потащи́л
Past F,потащи́ла
Past N,потащи́ло
Past PL,потащи́ли
Imp S,потащи́
Imp PL,потащи́те
