Infinitive,преврати́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,преврати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,превращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,преврати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,преврати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,превращу́
2nd Sing,преврати́шь
3rd Sing,преврати́т
1st Pl,преврати́м
2nd Pl,преврати́те
3rd Pl,превратя́т
Past M,преврати́л
Past F,преврати́ла
Past N,преврати́ло
Past PL,преврати́ли
Imp S,преврати́
Imp PL,преврати́те
