Infinitive,прегражда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прегражда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прегражда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прегражда́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прегражда́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прегражда́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прегражда́ю
2nd Sing,прегражда́ешь
3rd Sing,прегражда́ет
1st Pl,прегражда́ем
2nd Pl,прегражда́ете
3rd Pl,прегражда́ют
Past M,прегражда́л
Past F,прегражда́ла
Past N,прегражда́ло
Past PL,прегражда́ли
Imp S,прегражда́й
Imp PL,прегражда́йте
