Infinitive,преклоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,преклоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,преклоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,преклоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,преклоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,преклоня́юсь
2nd Sing,преклоня́ешься
3rd Sing,преклоня́ется
1st Pl,преклоня́емся
2nd Pl,преклоня́етесь
3rd Pl,преклоня́ются
Past M,преклоня́лся
Past F,преклоня́лась
Past N,преклоня́лось
Past PL,преклоня́лись
Imp S,преклоня́йся
Imp PL,преклоня́йтесь
