Infinitive,пререка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пререка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пререка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пререка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пререка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пререка́юсь
2nd Sing,пререка́ешься
3rd Sing,пререка́ется
1st Pl,пререка́емся
2nd Pl,пререка́етесь
3rd Pl,пререка́ются
Past M,пререка́лся
Past F,пререка́лась
Past N,пререка́лось
Past PL,пререка́лись
Imp S,пререка́йся
Imp PL,пререка́йтесь
