Infinitive,пресле́доваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пресле́дующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пресле́довавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пресле́дуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пресле́довавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пресле́дуюсь
2nd Sing,пресле́дуешься
3rd Sing,пресле́дуется
1st Pl,пресле́дуемся
2nd Pl,пресле́дуетесь
3rd Pl,пресле́дуются
Past M,пресле́довался
Past F,пресле́довалась
Past N,пресле́довалось
Past PL,пресле́довались
Imp S,пресле́дуйся
Imp PL,пресле́дуйтесь
