Infinitive,прибега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прибега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прибега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прибега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прибега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прибега́ю
2nd Sing,прибега́ешь
3rd Sing,прибега́ет
1st Pl,прибега́ем
2nd Pl,прибега́ете
3rd Pl,прибега́ют
Past M,прибега́л
Past F,прибега́ла
Past N,прибега́ло
Past PL,прибега́ли
Imp S,прибега́й
Imp PL,прибега́йте
