Infinitive,привстава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,привстаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,привстава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,привстава́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,привстава́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,привстава́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,привстаю́
2nd Sing,привстаёшь
3rd Sing,привстаёт
1st Pl,привстаём
2nd Pl,привстаёте
3rd Pl,привстаю́т
Past M,привстава́л
Past F,привстава́ла
Past N,привстава́ло
Past PL,привстава́ли
Imp S,привстава́й
Imp PL,привстава́йте
