Infinitive,привяза́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,привяза́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,привяза́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,привяжу́сь
2nd Sing,привя́жешься
3rd Sing,привя́жется
1st Pl,привя́жемся
2nd Pl,привя́жетесь
3rd Pl,привя́жутся
Past M,привяза́лся
Past F,привяза́лась
Past N,привяза́лось
Past PL,привяза́лись
Imp S,привяжи́сь
Imp PL,привяжи́тесь
