Infinitive,пригла́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригла́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригла́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригла́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пригла́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригла́жу
2nd Sing,пригла́дишь
3rd Sing,пригла́дит
1st Pl,пригла́дим
2nd Pl,пригла́дите
3rd Pl,пригла́дят
Past M,пригла́дил
Past F,пригла́дила
Past N,пригла́дило
Past PL,пригла́дили
Imp S,пригла́дь
Imp PL,пригла́дьте
