Infinitive,пригляде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригляде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригляде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пригляде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пригляжу́
2nd Sing,пригляди́шь
3rd Sing,пригляди́т
1st Pl,пригляди́м
2nd Pl,пригляди́те
3rd Pl,приглядя́т
Past M,пригляде́л
Past F,пригляде́ла
Past N,пригляде́ло
Past PL,пригляде́ли
Imp S,пригляди́
Imp PL,пригляди́те
