Infinitive,прижа́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прижа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прижа́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прижа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прижа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прижму́
2nd Sing,прижмёшь
3rd Sing,прижмёт
1st Pl,прижмём
2nd Pl,прижмёте
3rd Pl,прижму́т
Past M,прижа́л
Past F,прижа́ла
Past N,прижа́ло
Past PL,прижа́ли
Imp S,прижми́
Imp PL,прижми́те
