Infinitive,прикрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прикрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прикрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикрыва́юсь
2nd Sing,прикрыва́ешься
3rd Sing,прикрыва́ется
1st Pl,прикрыва́емся
2nd Pl,прикрыва́етесь
3rd Pl,прикрыва́ются
Past M,прикрыва́лся
Past F,прикрыва́лась
Past N,прикрыва́лось
Past PL,прикрыва́лись
Imp S,прикрыва́йся
Imp PL,прикрыва́йтесь
