Infinitive,приме́риваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приме́ривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приме́ривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приме́риваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приме́ривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приме́риваюсь
2nd Sing,приме́риваешься
3rd Sing,приме́ривается
1st Pl,приме́риваемся
2nd Pl,приме́риваетесь
3rd Pl,приме́риваются
Past M,приме́ривался
Past F,приме́ривалась
Past N,приме́ривалось
Past PL,приме́ривались
Imp S,приме́ривайся
Imp PL,приме́ривайтесь
