Infinitive,приобщи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приобщи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приобщённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приобщи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приобщи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приобщу́
2nd Sing,приобщи́шь
3rd Sing,приобщи́т
1st Pl,приобщи́м
2nd Pl,приобщи́те
3rd Pl,приобща́т
Past M,приобщи́л
Past F,приобщи́ла
Past N,приобщи́ло
Past PL,приобщи́ли
Imp S,приобщи́
Imp PL,приобщи́те
