Infinitive,припада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,припада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,припада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,припада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,припада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,припада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,припада́ю
2nd Sing,припада́ешь
3rd Sing,припада́ет
1st Pl,припада́ем
2nd Pl,припада́ете
3rd Pl,припада́ют
Past M,припада́л
Past F,припада́ла
Past N,припада́ло
Past PL,припада́ли
Imp S,припада́й
Imp PL,припада́йте
