Infinitive,притяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,притяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,притя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,притяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,притяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,притяну́
2nd Sing,притя́нешь
3rd Sing,притя́нет
1st Pl,притя́нем
2nd Pl,притя́нете
3rd Pl,притя́нут
Past M,притяну́л
Past F,притяну́ла
Past N,притяну́ло
Past PL,притяну́ли
Imp S,притяни́
Imp PL,притяни́те
