Infinitive,причеса́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,причеса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,причёсанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,причеса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,причеса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,причешу́
2nd Sing,приче́шешь
3rd Sing,приче́шет
1st Pl,приче́шем
2nd Pl,приче́шете
3rd Pl,приче́шут
Past M,причеса́л
Past F,причеса́ла
Past N,причеса́ло
Past PL,причеса́ли
Imp S,причеши́
Imp PL,причеши́те
