Infinitive,причита́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,причита́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,причита́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,причита́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,причита́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,причита́юсь
2nd Sing,причита́ешься
3rd Sing,причита́ется
1st Pl,причита́емся
2nd Pl,причита́етесь
3rd Pl,причита́ются
Past M,причита́лся
Past F,причита́лась
Past N,причита́лось
Past PL,причита́лись
Imp S,причита́йся
Imp PL,причита́йтесь
