Infinitive,прогни́ть
Zaliznyak Class,12b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прогни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогни́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прогни́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прогнию́
2nd Sing,прогниёшь
3rd Sing,прогниёт
1st Pl,прогниём
2nd Pl,прогниёте
3rd Pl,прогнию́т
Past M,прогни́л
Past F,прогнила́
Past N,прогни́ло
Past PL,прогни́ли
Imp S,—
Imp PL,—
