Infinitive,проголосова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проголосова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проголосова́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,проголосова́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,проголосу́ю
2nd Sing,проголосу́ешь
3rd Sing,проголосу́ет
1st Pl,проголосу́ем
2nd Pl,проголосу́ете
3rd Pl,проголосу́ют
Past M,проголосова́л
Past F,проголосова́ла
Past N,проголосова́ло
Past PL,проголосова́ли
Imp S,проголосу́й
Imp PL,проголосу́йте
