Infinitive,прогресси́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прогресси́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогресси́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогресси́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прогресси́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прогресси́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прогресси́рую
2nd Sing,прогресси́руешь
3rd Sing,прогресси́рует
1st Pl,прогресси́руем
2nd Pl,прогресси́руете
3rd Pl,прогресси́руют
Past M,прогресси́ровал
Past F,прогресси́ровала
Past N,прогресси́ровало
Past PL,прогресси́ровали
Imp S,прогресси́руй
Imp PL,прогресси́руйте
