Infinitive,продолжа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продолжа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,продолжа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продолжа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,продолжа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продолжа́юсь
2nd Sing,продолжа́ешься
3rd Sing,продолжа́ется
1st Pl,продолжа́емся
2nd Pl,продолжа́етесь
3rd Pl,продолжа́ются
Past M,продолжа́лся
Past F,продолжа́лась
Past N,продолжа́лось
Past PL,продолжа́лись
Imp S,продолжа́йся
Imp PL,продолжа́йтесь
