Infinitive,произраста́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,произраста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,произраста́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,произраста́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,произраста́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,произраста́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,произраста́ю
2nd Sing,произраста́ешь
3rd Sing,произраста́ет
1st Pl,произраста́ем
2nd Pl,произраста́ете
3rd Pl,произраста́ют
Past M,произраста́л
Past F,произраста́ла
Past N,произраста́ло
Past PL,произраста́ли
Imp S,произраста́й
Imp PL,произраста́йте
