Infinitive,пропусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пропусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пропусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пропусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пропущу́
2nd Sing,пропу́стишь
3rd Sing,пропу́стит
1st Pl,пропу́стим
2nd Pl,пропу́стите
3rd Pl,пропу́стят
Past M,пропусти́л
Past F,пропусти́ла
Past N,пропусти́ло
Past PL,пропусти́ли
Imp S,пропусти́
Imp PL,пропусти́те
