Infinitive,пророни́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пророни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проро́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пророни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пророни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пророню́
2nd Sing,проро́нишь
3rd Sing,проро́нит
1st Pl,проро́ним
2nd Pl,проро́ните
3rd Pl,проро́нят
Past M,пророни́л
Past F,пророни́ла
Past N,пророни́ло
Past PL,пророни́ли
Imp S,пророни́
Imp PL,пророни́те
