Infinitive,просыпа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,просыпа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,просыпа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просыпа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,просыпа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просыпа́юсь
2nd Sing,просыпа́ешься
3rd Sing,просыпа́ется
1st Pl,просыпа́емся
2nd Pl,просыпа́етесь
3rd Pl,просыпа́ются
Past M,просыпа́лся
Past F,просыпа́лась
Past N,просыпа́лось
Past PL,просыпа́лись
Imp S,просыпа́йся
Imp PL,просыпа́йтесь
