Infinitive,развлека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,развлека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,развлека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развлека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,развлека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развлека́юсь
2nd Sing,развлека́ешься
3rd Sing,развлека́ется
1st Pl,развлека́емся
2nd Pl,развлека́етесь
3rd Pl,развлека́ются
Past M,развлека́лся
Past F,развлека́лась
Past N,развлека́лось
Past PL,развлека́лись
Imp S,развлека́йся
Imp PL,развлека́йтесь
