Infinitive,развяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,развяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,развяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развяжу́
2nd Sing,развя́жешь
3rd Sing,развя́жет
1st Pl,развя́жем
2nd Pl,развя́жете
3rd Pl,развя́жут
Past M,развяза́л
Past F,развяза́ла
Past N,развяза́ло
Past PL,развяза́ли
Imp S,развяжи́
Imp PL,развяжи́те
