Infinitive,раздолба́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздолба́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздо́лбанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздолба́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздолба́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздолба́ю
2nd Sing,раздолба́ешь
3rd Sing,раздолба́ет
1st Pl,раздолба́ем
2nd Pl,раздолба́ете
3rd Pl,раздолба́ют
Past M,раздолба́л
Past F,раздолба́ла
Past N,раздолба́ло
Past PL,раздолба́ли
Imp S,раздолба́й
Imp PL,раздолба́йте
