Infinitive,разлива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разлива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разлива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разлива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлива́юсь
2nd Sing,разлива́ешься
3rd Sing,разлива́ется
1st Pl,разлива́емся
2nd Pl,разлива́етесь
3rd Pl,разлива́ются
Past M,разлива́лся
Past F,разлива́лась
Past N,разлива́лось
Past PL,разлива́лись
Imp S,разлива́йся
Imp PL,разлива́йтесь
