Infinitive,разложи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разложи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разложи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разложу́сь
2nd Sing,разло́жишься
3rd Sing,разло́жится
1st Pl,разло́жимся
2nd Pl,разло́житесь
3rd Pl,разло́жатся
Past M,разложи́лся
Past F,разложи́лась
Past N,разложи́лось
Past PL,разложи́лись
Imp S,разложи́сь
Imp PL,разложи́тесь
