Infinitive,размышля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,размышля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,размышля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,размышля́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,размышля́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,размышля́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,размышля́ю
2nd Sing,размышля́ешь
3rd Sing,размышля́ет
1st Pl,размышля́ем
2nd Pl,размышля́ете
3rd Pl,размышля́ют
Past M,размышля́л
Past F,размышля́ла
Past N,размышля́ло
Past PL,размышля́ли
Imp S,размышля́й
Imp PL,размышля́йте
