Infinitive,разогрева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разогрева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разогрева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разогрева́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разогрева́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разогрева́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разогрева́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разогрева́ю
2nd Sing,разогрева́ешь
3rd Sing,разогрева́ет
1st Pl,разогрева́ем
2nd Pl,разогрева́ете
3rd Pl,разогрева́ют
Past M,разогрева́л
Past F,разогрева́ла
Past N,разогрева́ло
Past PL,разогрева́ли
Imp S,разогрева́й
Imp PL,разогрева́йте
