Infinitive,разреши́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разреши́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разреши́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разрешу́сь
2nd Sing,разреши́шься
3rd Sing,разреши́тся
1st Pl,разреши́мся
2nd Pl,разреши́тесь
3rd Pl,разреша́тся
Past M,разреши́лся
Past F,разреши́лась
Past N,разреши́лось
Past PL,разреши́лись
Imp S,разреши́сь
Imp PL,разреши́тесь
