Infinitive,разуме́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разуме́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разуме́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
3rd Sing,разуме́ется
3rd Pl,разуме́ются
Past M,разуме́лся
Past F,разуме́лась
Past N,разуме́лось
Past PL,разуме́лись
Imp S,—
Imp PL,—
