Infinitive,разыска́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разыска́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разы́сканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разыска́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разыска́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разыщу́
2nd Sing,разы́щешь
3rd Sing,разы́щет
1st Pl,разы́щем
2nd Pl,разы́щете
3rd Pl,разы́щут
Past M,разыска́л
Past F,разыска́ла
Past N,разыска́ло
Past PL,разыска́ли
Imp S,разыщи́
Imp PL,разыщи́те
